date,KansasCity,Seattle,SanJose,SanFrancisco,Austin,Pittsburgh,Boston
1975-07-01,,20.81,19.2,18.38,,,
1975-10-01,,20.07,19.27,19.35,,,
1976-01-01,44.85,21.81,19.83,20.33,,,
1976-04-01,45.44,22.41,20.79,22.14,, ,
1976-07-01,46.18,23.92,21.97,21.92,,42.59,
1976-10-01,46.25,24.35,23.69,23.75, ,42.67,
1977-01-01,47.24,25.42,24.8,24.19, ,43.85,
1977-04-01,49.79,26.81,26.62,26.65,39.13,45.27,
1977-07-01,51.77,28.7,28.92,28.3,40.7,47.47,26.38
1977-10-01,53.97,30.9,30.17,28.62,43.22,50.8,24.67
1978-01-01,55.73,32.55,30.8,29.24,44.48,50.2,25.09
1978-04-01,57.94,35.65,31.47,30.08,46.54,54.73,26.59
1978-07-01,59.84,37.8,31.76,30.64,48.09,56.21,30.14
1978-10-01,60.39,39.33,33.02,31.52,49.29,54.46,29.79
1979-01-01,62.69,40,34.24,33.79,52.24,56.6,32.24
1979-04-01,65.01,42.27,35.98,35.29,52.67,57.87,31.93
1979-07-01,66.54,43.37,38.33,37.91,56.02,58.98,32.72
1979-10-01,68.73,45.15,40.5,40.28,59.05,60.07,33.35
1980-01-01,68.54,46.4,42.83,42.38,58.35,59.69,34.54
1980-04-01,69.08,46.02,44.62,43.75,63.63,58.6,36.12
1980-07-01,72.11,47.74,46.47,45.53,60.52,60.28,37.74
1980-10-01,72.61,47.12,47.69,45.79,61.49,57.13,38.31
1981-01-01,69.86,45.09,48.65,45.15,63.46,55.25,39.86
1981-04-01,71.31,48.16,50.49,46.32,66.55,59.74,41.46
1981-07-01,72.39,48.95,51.35,46.14,68.53,58.61,42.95
1981-10-01,71.6,48.81,52.26,46.04,57.25,55.43,42.99
1982-01-01,76.4,38.72,48.63,43.74,69.15,56.49,43.3
1982-04-01,70.35,44.83,47.24,40.24,64.11,58.94,43.41
1982-07-01,71.97,43.7,46.08,42,62.21,60.01,44.12
1982-10-01,72.16,48.32,50.53,45.91,72.58,58.35,44.45
1983-01-01,71.62,48.34,51.16,48.39,74.2,60.16,45.61
1983-04-01,73.25,48.27,51.73,49.36,77.3,62.29,47.92
1983-07-01,74.28,48.61,52.13,49.75,78.08,63,50.37
1983-10-01,74.63,49.38,52.74,49.44,81.36,63.47,52.84
1984-01-01,74.86,49.54,53.63,50.08,82.44,63.12,53.8
1984-04-01,74.81,50.07,54.33,51.19,86.23,63.3,57.63
1984-07-01,76.32,50.64,55.42,52.24,89.78,63.38,61.5
1984-10-01,75.94,51.21,56.66,52.66,91.41,63.64,63.55
1985-01-01,77.08,51.62,57.4,53.7,93.52,63.49,67.2
1985-04-01,77.79,51.88,58.83,54.91,96.72,63.88,72.42
1985-07-01,78.95,52.4,59.99,56.69,96.4,64.77,77.51
1985-10-01,79.4,52.67,60.98,58.16,96.49,65.36,82.65
1986-01-01,80.36,53.11,61.88,58.96,96.83,66.36,86.18
1986-04-01,81.74,53.38,62.72,60.76,98.6,67.44,90.17
1986-07-01,82.44,54.08,64.25,63.16,97.65,68,94.53
1986-10-01,83.19,54.74,65.56,65.73,95.7,68.46,99.53
1987-01-01,84.4,55.58,66.73,68.23,93.28,69.43,102.95
1987-04-01,85.67,56.2,68.18,70.49,91.71,71.36,105.16
1987-07-01,86.58,56.99,70.26,74.21,85.05,72.69,108.66
1987-10-01,86.51,57.57,72.16,78.07,81.43,73.31,109.48
1988-01-01,87.41,58.9,74.96,82.25,79.23,73.49,109.88
1988-04-01,87.97,59.97,78.88,86.72,91.36,74.41,112.44
1988-07-01,87.6,61.33,84.41,91.41,75.28,76.85,111.72
1988-10-01,87.77,62.42,90.69,98.51,73.73,76.47,112.87
1989-01-01,87.85,64.87,97.09,102.44,73.32,77.94,111.46
1989-04-01,88.41,68.44,104.73,106.77,72.9,80.15,111.21
1989-07-01,88.61,71.87,112.19,111.67,73.97,80.77,112.54
1989-10-01,88.89,76.9,114.25,113.63,72.97,81.37,112.75
1990-01-01,88.88,84.07,113.34,114.12,72.72,82.64,111.34
1990-04-01,88.16,90.75,111.7,113.16,73.1,84.39,108.17
1990-07-01,88.37,92.44,110.4,112.28,72.78,85.71,107.09
1990-10-01,87.72,91.51,107.33,109.63,72.92,85.93,103.47
1991-01-01,88.69,91.87,106.25,107.58,75.04,87.15,102.35
1991-04-01,89.18,92.26,105.82,106.7,76.78,88.79,101.17
1991-07-01,89.17,92.39,106.4,106.46,77.9,89.4,100.44
1991-10-01,90.49,93.55,106.25,107.12,78.34,90.23,100.94
1992-01-01,90.79,93.56,105.44,106.02,80.24,92.55,100.55
1992-04-01,90.89,94.05,104.74,105.17,82.12,92.98,99.37
1992-07-01,91.75,94.87,104.89,105.01,84.38,94.92,100.07
1992-10-01,92.18,95.23,104.35,104.16,85.65,96.09,100.18
1993-01-01,92.45,95.31,103.01,102.8,87.73,97.23,99.68
1993-04-01,92.91,95.81,102.36,102.13,89.79,98.45,100.45
1993-07-01,93.8,96.51,101.98,101.67,93.01,99.63,100.62
1993-10-01,94.64,97.22,101.45,101.6,94.93,101.08,101.17
1994-01-01,95.66,98.16,100.75,101.22,97.12,101.36,101.52
1994-04-01,97.56,99.2,99.98,100.38,99.8,101.37,100.38
1994-07-01,98.64,99.23,99.95,100.02,100.32,100.5,100.41
1994-10-01,99.27,98.89,99.97,98.88,100.24,99.47,99.55
1995-01-01,100,100,100,100,100,100,100
1995-04-01,101.56,100.95,101.13,100.08,102.17,101.61,102.36
1995-07-01,102.82,101.98,101.98,100.91,104.11,103.66,104.28
1995-10-01,104.11,102.78,102.44,100.95,105.01,104.32,104.79
1996-01-01,105.07,103.66,102.93,100.82,105.84,106.16,106.46
1996-04-01,106.41,104.39,104.45,100.82,106.16,105.11,106.56
1996-07-01,108,105.02,106.4,102.05,106.19,104.96,107.23
1996-10-01,109.14,105.76,108.06,103.58,107.17,106,108.76
1997-01-01,110.13,107.42,110.84,105.12,106.83,106.06,109.67
1997-04-01,111.83,110,115.91,108.07,107.17,106.85,111.52
1997-07-01,113.05,112.48,119.39,111.75,107.25,107.6,113.3
1997-10-01,114.93,114.56,122.48,114.45,109.04,108.89,115.22
1998-01-01,115.85,117.23,126.11,117.5,110.48,111.71,116.86
1998-04-01,117.49,120.43,131.26,121.39,111.47,111.44,119.59
1998-07-01,119.38,123.59,136.42,125.98,113.14,112.08,122.97
1998-10-01,120.68,125.07,138.45,127.95,114.67,114.23,125.18
1999-01-01,122.05,127.15,140.14,130.93,116.16,114.98,128.13
1999-04-01,125.17,130.95,144.54,136.38,119.7,114.86,132.47
1999-07-01,127.28,134.3,151.86,142.36,123.12,114.79,138.76
1999-10-01,129.11,135.64,157.66,150.35,126.23,114.86,142.4
2000-01-01,131.86,139.73,170.79,158.98,130.05,116.19,148.65
2000-04-01,133.66,141.88,184.17,169.83,135.29,118.06,153.74
2000-07-01,135.41,143.92,195.19,178.38,139.92,119.47,159.89
2000-10-01,137.27,145.95,203.56,184.14,142.09,121.23,163.78
2001-01-01,139.96,149.29,210.78,190.39,147.81,124.81,168.37
2001-04-01,141.79,151.83,214.56,194.09,149.93,126.19,173.64
2001-07-01,143.98,153.82,211.35,195.59,149.53,127.6,179.26
2001-10-01,145.81,154.58,205.17,192.9,150.32,129.14,183.37
2002-01-01,147.85,156.53,205.31,195.45,149.96,131.03,189.49
2002-04-01,149.54,159.13,210.58,200.21,150.33,131.76,196.81
2002-07-01,151.68,160.9,214.39,204.98,152.73,133.9,203.13
2002-10-01,152.93,161.88,216.23,206.9,153.32,135.47,208.16
2003-01-01,154.5,163.34,216.15,208.98,153.31,136.75,212.9
2003-04-01,155.63,164.73,215.6,209.93,153.28,138.09,216.8
2003-07-01,156.79,166.59,216.29,211.97,152.16,139.45,220.77
2003-10-01,159.88,170.86,220.86,219.06,152.98,142.03,231.21
2004-01-01,160.96,173.08,223.79,223.11,153.11,143.68,234.96
2004-04-01,162.61,178.11,232.36,232.43,153.73,144.58,240.31
2004-07-01,165.52,185.36,249.58,249.02,153.83,146.52,252.05
2004-10-01,167.36,189.17,255.26,256.25,156.22,148.69,256.37
2005-01-01,169.78,195.27,267.06,267.15,157.14,149.58,261.42
2005-04-01,171.15,205.25,287.24,283.09,160.55,151.79,267.28
2005-07-01,173,213.49,297.75,293.37,163.57,153.69,270.18
2005-10-01,174.51,222.1,309.48,301.59,165.61,153.5,272.48
2006-01-01,175.83,230.77,312.11,306.07,167.67,154.49,272.67
2006-04-01,174.58,240.34,317.31,306.71,173.18,154.91,267.89
2006-07-01,175.8,248.02,320.21,311.16,176.75,155.34,266.34
2006-10-01,178.41,252.89,318.3,307.09,180.32,157.42,266.6
2007-01-01,178.41,258.45,312.61,307.43,184.48,158.04,263.6
2007-04-01,178.77,262.81,315.88,306.31,189.95,158.87,259.42
